year,total_population_millions,cbr,cdr,tfr,imr,u5mr,life_expectancy,pct_young_0_14,pct_working_15_64,pct_elderly_65_plus,tdr,oadr
1970,45.966,44.17,22.7,6.13,116.0,168.2,58.1,44.0,52.5,3.5,90.48,6.67
1971,46.957,43.78,22.21,6.07,111.16,161.18,58.5,43.34,52.9,3.75,89.04,7.1
1972,47.973,43.36,21.74,6.01,106.53,154.47,58.9,42.7,53.28,4.02,87.69,7.54
1973,49.011,42.93,21.28,5.95,102.11,148.06,59.2,42.06,53.64,4.29,86.42,8.01
1974,50.071,42.47,20.83,5.88,97.88,141.93,59.6,41.44,53.98,4.58,85.25,8.48
1975,51.152,41.98,20.4,5.81,93.84,136.06,60.0,40.82,54.3,4.88,84.15,8.98
1976,52.252,41.48,19.98,5.73,89.97,130.46,60.5,40.21,54.61,5.18,83.13,9.49
1977,53.368,40.95,19.57,5.65,86.28,125.1,60.9,39.61,54.89,5.5,82.18,10.01
1978,54.5,40.39,19.18,5.57,82.74,119.98,61.3,39.02,55.16,5.82,81.31,10.55
1979,55.646,39.82,18.8,5.49,79.37,115.08,61.8,38.44,55.4,6.15,80.5,11.11
1980,56.803,39.22,18.42,5.4,76.14,110.4,62.3,37.87,55.63,6.5,79.76,11.68
1981,57.969,38.6,18.06,5.31,73.05,105.93,62.8,37.31,55.84,6.86,79.09,12.28
1982,59.143,37.95,17.71,5.21,70.1,101.65,63.3,36.75,56.03,7.22,78.48,12.89
1983,60.321,37.29,17.37,5.12,67.28,97.56,63.8,36.2,56.2,7.59,77.94,13.51
1984,61.501,36.61,17.04,5.02,64.59,93.65,64.3,35.67,56.35,7.98,77.45,14.16
1985,62.682,35.92,16.72,4.91,62.01,89.91,64.8,35.13,56.49,8.38,77.02,14.83
1986,63.86,35.2,16.41,4.81,59.54,86.34,65.3,34.61,56.61,8.78,76.65,15.51
1987,65.033,34.48,16.11,4.7,57.19,82.92,65.9,34.1,56.71,9.2,76.34,16.21
1988,66.199,33.74,15.82,4.59,54.93,79.65,66.4,33.59,56.79,9.62,76.08,16.94
1989,67.355,32.99,15.53,4.48,52.78,76.53,67.0,33.09,56.86,10.05,75.88,17.68
1990,68.499,32.24,15.26,4.37,50.72,73.55,67.5,32.6,56.9,10.5,75.73,18.45
1991,69.629,31.48,14.99,4.26,48.75,70.69,68.0,32.11,56.93,10.96,75.64,19.24
1992,70.742,30.72,14.73,4.15,46.87,67.97,68.6,31.63,56.95,11.42,75.6,20.05
1993,71.837,29.96,14.48,4.04,45.07,65.36,69.1,31.16,56.94,11.89,75.61,20.89
1994,72.913,29.2,14.23,3.93,43.36,62.87,69.7,30.7,56.92,12.38,75.68,21.75
1995,73.967,28.45,13.99,3.82,41.71,60.48,70.2,30.24,56.88,12.88,75.8,22.63
1996,74.997,27.7,13.76,3.71,40.14,58.2,70.7,29.79,56.83,13.38,75.96,23.54
1997,76.004,26.96,13.54,3.6,38.64,56.03,71.2,29.35,56.76,13.89,76.19,24.48
1998,76.985,26.24,13.32,3.49,37.2,53.94,71.7,28.91,56.67,14.42,76.46,25.45
1999,77.941,25.52,13.11,3.39,35.83,51.95,72.2,28.48,56.57,14.96,76.79,26.44
2000,78.87,24.83,12.91,3.28,34.52,50.05,72.7,28.06,56.44,15.5,77.17,27.46
2001,79.772,24.15,12.71,3.18,33.26,48.23,73.2,27.64,56.31,16.05,77.6,28.51
2002,80.647,23.49,12.52,3.09,32.06,46.49,73.7,27.23,56.15,16.62,78.08,29.6
2003,81.495,22.84,12.33,2.99,30.92,44.83,74.1,26.82,55.98,17.2,78.62,30.71
2004,82.316,22.22,12.15,2.9,29.82,43.24,74.5,26.42,55.8,17.78,79.22,31.86
2005,83.11,21.62,11.97,2.81,28.77,41.72,75.0,26.03,55.6,18.38,79.87,33.05
2006,83.729,21.05,13.6,2.73,27.77,40.26,75.4,25.64,55.38,18.98,80.57,34.27
2007,84.315,20.49,13.49,2.65,26.81,38.88,75.8,25.26,55.15,19.59,81.34,35.53
2008,84.871,19.96,13.38,2.57,25.9,37.55,76.1,24.88,54.9,20.22,82.16,36.83
2009,85.396,19.46,13.27,2.49,25.02,36.28,76.5,24.51,54.63,20.86,83.04,38.17
2010,85.891,18.97,13.17,2.42,24.18,35.07,76.9,24.15,54.35,21.5,83.98,39.56
2011,86.359,18.51,13.07,2.35,23.38,33.91,77.2,23.79,54.06,22.16,84.99,40.98
2012,86.799,18.08,12.98,2.29,22.62,32.8,77.5,23.43,53.75,22.82,86.06,42.46
2013,87.213,17.66,12.89,2.23,21.89,31.74,77.8,23.09,53.42,23.49,87.2,43.98
2014,87.602,17.27,12.81,2.17,21.19,30.72,78.1,22.74,53.08,24.18,88.4,45.56
2015,87.968,16.9,12.73,2.12,20.52,29.75,78.4,22.4,52.72,24.88,89.67,47.18
2016,88.31,16.55,12.65,2.07,19.88,28.83,78.7,22.07,52.35,25.58,91.02,48.86
2017,88.632,16.22,12.58,2.02,19.27,27.94,78.9,21.74,51.96,26.29,92.44,50.6
2018,88.933,15.91,12.51,1.97,18.69,27.09,79.2,21.42,51.56,27.02,93.94,52.4
2019,89.216,15.62,12.44,1.93,18.13,26.28,79.4,21.1,51.15,27.75,95.52,54.27
2020,89.48,15.34,12.38,1.89,17.59,25.51,79.6,20.78,50.72,28.5,97.18,56.2
2021,89.727,15.09,12.32,1.85,17.08,24.77,79.8,20.47,50.27,29.25,98.92,58.2
2022,89.959,14.85,12.27,1.82,16.6,24.06,80.0,20.17,49.81,30.02,100.76,60.27
2023,90.175,14.62,12.21,1.78,16.13,23.39,80.2,19.87,49.34,30.8,102.69,62.42
2024,90.378,14.41,12.17,1.75,15.68,22.74,80.4,19.57,48.85,31.58,104.72,64.65
